order_id,customer_id,product_id,order_date,quantity,unit_price,status
O1001,C001,P001,2024-06-10,1,65000,Completed
O1002,C002,P003,2024-06-11,2,4500,Completed
O1003,C003,P002,2024-06-11,1,35000,Completed
O1004,C004,P006,2024-06-12,3,2500,Completed
O1005,C005,P004,2024-06-13,1,12000,Completed
O1006,C006,P008,2024-06-14,2,22000,Completed
O1007,C007,P007,2024-06-15,1,3000,Cancelled
O1008,C008,P005,2024-06-16,1,18000,Completed
O1009,C009,P009,2024-06-17,4,1800,Completed
O1010,C010,P010,2024-06-18,2,900,Completed
O1011,C001,P002,2024-06-19,1,35000,Completed
O1012,C003,P003,2024-06-20,3,4500,Completed
O1013,C005,P006,2024-06-21,2,2500,Cancelled
O1014,C008,P001,2024-06-22,1,65000,Completed
O1015,C010,P004,2024-06-23,1,12000,Completed
