payment_id,order_id,payment_date,payment_method,amount,payment_status
PAY001,O1001,2024-06-10,Credit Card,65000,Paid
PAY002,O1002,2024-06-11,UPI,9000,Paid
PAY003,O1003,2024-06-11,Credit Card,35000,Paid
PAY004,O1004,2024-06-12,UPI,7500,Paid
PAY005,O1005,2024-06-13,Debit Card,12000,Paid
PAY006,O1006,2024-06-14,Credit Card,44000,Paid
PAY007,O1007,2024-06-15,UPI,3000,Refunded
PAY008,O1008,2024-06-16,Net Banking,18000,Paid
PAY009,O1009,2024-06-17,UPI,7200,Paid
PAY010,O1010,2024-06-18,Credit Card,1800,Paid
PAY011,O1011,2024-06-19,UPI,35000,Paid
PAY012,O1012,2024-06-20,Credit Card,13500,Paid
PAY013,O1013,2024-06-21,UPI,5000,Refunded
PAY014,O1014,2024-06-22,Credit Card,65000,Paid
PAY015,O1015,2024-06-23,Debit Card,12000,Paid
